"","year","state","rep","dem","other"
"523",2000,"vermont",119775,149022,25511
"524",2000,"virginia",1437490,1217290,84667
"525",2000,"washington",1108864,1247652,132229
"526",2000,"west virginia",336475,295497,16152
"527",2000,"wisconsin",1237279,1242987,118341
"528",2000,"wyoming",147947,60481,9923
"529",2004,"alabama",1176394,693933,13122
"530",2004,"arizona",1104294,893524,14767
"531",2004,"arkansas",572898,469953,12094
"532",2004,"california",5509826,6745485,164546
"533",2004,"colorado",1101255,1001732,27343
"534",2004,"connecticut",693826,857488,27455
"535",2004,"delaware",171660,200152,3378
"536",2004,"florida",3964522,3583544,61744
"537",2004,"georgia",1914254,1366149,21472
"538",2004,"idaho",409235,181098,8114
"539",2004,"illinois",2345946,2891550,36826
"540",2004,"indiana",1479438,969011,19553
"541",2004,"iowa",751957,741898,13053
"542",2004,"kansas",736456,434993,16307
"543",2004,"kentucky",1069439,712733,13688
"544",2004,"louisiana",1102169,820299,20638
"545",2004,"maine",330201,396842,13709
"546",2004,"maryland",1024703,1334493,27482
"547",2004,"massachusetts",1071109,1803800,37479
"548",2004,"michigan",2313746,2479183,46323
"549",2004,"minnesota",1346695,1445014,36678
"550",2004,"mississippi",684981,458094,9290
"551",2004,"missouri",1455713,1259171,16480
"552",2004,"montana",266063,173710,10672
"553",2004,"nebraska",512814,254328,11044
"554",2004,"nevada",418690,397190,13707
"555",2004,"new hampshire",331237,340511,5990
"556",2004,"new jersey",1670003,1911430,30258
"557",2004,"new mexico",376930,370942,8432
"558",2004,"new york",2962567,4314280,114189
"559",2004,"north carolina",1961166,1525849,13992
"560",2004,"north dakota",196651,111052,5130
"561",2004,"ohio",2859768,2741167,26973
"562",2004,"oklahoma",959792,503966,0
"563",2004,"oregon",866831,943163,26788
"564",2004,"pennsylvania",2793847,2938095,33822
"565",2004,"rhode island",169046,259760,8328
"566",2004,"south carolina",937974,661699,18057
"567",2004,"south dakota",232584,149244,6387
"568",2004,"tennessee",1384375,1036477,16467
"569",2004,"texas",4526917,2832704,51144
"570",2004,"utah",663742,241199,22903
"571",2004,"vermont",121180,184067,7062
"572",2004,"virginia",1716959,1454742,26666
"573",2004,"washington",1304894,1510201,43989
"574",2004,"west virginia",423778,326541,5568
"575",2004,"wisconsin",1478120,1489504,29383
"576",2004,"wyoming",167629,70776,5023
"577",2008,"alabama",1263741,811510,0
"578",2008,"arizona",1012878,851589,0
"579",2008,"arkansas",633187,418289,0
"580",2008,"california",3755298,6195725,0
"581",2008,"colorado",966957,1109328,0
"582",2008,"connecticut",606268,943819,0
"583",2008,"delaware",152356,255394,0
"584",2008,"florida",3908736,4103638,0
"585",2008,"georgia",2022409,1811198,0
"586",2008,"idaho",400989,235219,0
"587",2008,"illinois",1975801,3293340,0
"588",2008,"indiana",1341101,1367264,0
"589",2008,"iowa",677508,818240,0
"590",2008,"kansas",685541,499979,0
"591",2008,"kentucky",1043264,746510,0
"592",2008,"louisiana",1147603,780981,0
"593",2008,"maine",271876,390147,0
"594",2008,"maryland",873320,1409150,0
"595",2008,"massachusetts",1104086,1890183,0
"596",2008,"michigan",2044405,2867680,0
"597",2008,"minnesota",1275456,1573246,0
"598",2008,"mississippi",684475,517899,0
"599",2008,"missouri",1442613,1436745,0
"600",2008,"montana",236513,220401,0
"601",2008,"nebraska",439421,315913,0
"602",2008,"nevada",411988,531884,0
"603",2008,"new hampshire",294742,360854,0
"604",2008,"new jersey",1540907,2073934,0
"605",2008,"new mexico",334298,454291,0
"606",2008,"new york",2573368,4357360,0
"607",2008,"north carolina",2106501,2121467,0
"608",2008,"north dakota",168523,141113,0
"609",2008,"ohio",2469544,2673958,0
"610",2008,"oklahoma",959645,502286,0
"611",2008,"oregon",533525,701641,0
"612",2008,"pennsylvania",2584119,3184807,0
"613",2008,"rhode island",156434,279751,0
"614",2008,"south carolina",1008727,842441,0
"615",2008,"south dakota",203002,170877,0
"616",2008,"tennessee",1470160,1081074,0
"617",2008,"texas",4467748,3521164,0
"618",2008,"utah",555497,301771,0
"619",2008,"vermont",95422,201999,0
"620",2008,"virginia",1637338,1792502,0
"621",2008,"washington",711496,1017049,0
"622",2008,"west virginia",394278,301438,0
"623",2008,"wisconsin",1251653,1633117,0
"624",2008,"wyoming",160639,80496,0
"625",2012,"alabama",1252453,793620,18626
"626",2012,"arizona",1143051,930669,35666
"627",2012,"arkansas",638467,389699,26946
"628",2012,"california",4202127,6493924,261753
"629",2012,"colorado",1125391,1238490,55817
"630",2012,"connecticut",631432,912531,18224
"631",2012,"delaware",165476,242547,5821
"632",2012,"florida",4162081,4235270,72854
"633",2012,"georgia",2070221,1761761,45056
"634",2012,"idaho",420750,212560,18561
"635",2012,"illinois",2094526,2934826,84374
"636",2012,"indiana",1412620,1140425,49838
"637",2012,"iowa",727928,816429,21611
"638",2012,"kansas",678719,427918,24607
"639",2012,"kentucky",1087127,679340,30269
"640",2012,"louisiana",1152460,808496,32599
"641",2012,"maine",290437,397754,22547
"642",2012,"maryland",904970,1527686,43300
"643",2012,"massachusetts",1177370,1900575,50189
"644",2012,"michigan",2112673,2561911,43144
"645",2012,"minnesota",1321575,1547668,59699
"646",2012,"mississippi",674302,528260,11442
"647",2012,"missouri",1478961,1215031,50943
"648",2012,"montana",264974,200489,13923
"649",2012,"nebraska",462972,289154,12957
"650",2012,"nevada",462422,528801,19882
"651",2012,"new hampshire",327870,368529,9475
"652",2012,"new jersey",1383233,1960744,34849
"653",2012,"new mexico",331915,408312,32102
"654",2012,"new york",2226637,3875826,86519
"655",2012,"north carolina",2275853,2178388,44798
"656",2012,"north dakota",187586,124490,7749
"657",2012,"ohio",2593779,2697260,88051
"658",2012,"oklahoma",889372,442647,0
