"","cname","litdiff","p_polity2","pei_eir","wbgi_gee","wdi_birth","wdi_empagrf","wdi_empagrm","wdi_empch","wdi_expedu","wdi_fertility","wdi_gdpcapcon2010","wdi_poprul"
"97","Latvia",-0.0380325317382812,8,8.048296,0.90379453,10.6999998092651,4.2039999961853,9.57999992370605,NA,4.39711999893188,1.69000005722046,15512.7255859375,31.9249992370606
"98","Liberia",28.6043014526367,6,7,-1.3409439,33.4259986877441,42.3569984436035,45.0060005187988,NA,2.76128005981445,4.38700008392334,548.010559082031,49.3030014038086
"99","Libya",NA,0,NA,-1.7738808,19.3799991607666,22.7189998626709,17.4050006866455,NA,NA,2.27699995040894,7085.81201171875,20.1830005645752
"100","Liechtenstein",NA,NA,NA,1.7648875,8.89999961853027,NA,NA,NA,NA,1.44000005722046,NA,85.6849975585938
"101","Lithuania",NA,10,8.75,0.96533698,10.1000003814697,5.39900016784668,10.2829999923706,NA,3.81282997131348,1.62999999523163,16908.126953125,32.484001159668
"102","Luxembourg",NA,10,8.5,1.6831468,10.3999996185303,0.695999979972839,1.97300004959106,NA,3.56959009170532,1.38999998569489,109452.9609375,9.27299976348877
"103","Madagascar",4.89105224609375,6,4.59375,-1.1396072,32.8969993591309,61.6980018615723,68.6039962768555,NA,2.82548999786377,4.13000011444092,481.383148193359,63.4780006408691
"104","Malawi",14.5498580932617,6,5.0666666,-0.65952575,34.5929985046387,44.6759986877441,44.5909996032715,48.9000015258789,4.03133010864258,4.30200004577637,512.645629882812,83.286003112793
"105","Malaysia (1966-)",2.94505310058594,5,3.6897435,0.82786417,16.867000579834,6.68300008773804,13.6339998245239,NA,4.67756986618042,2.01900005340576,11736.8486328125,24.55299949646
"106","Maldives",-0.815780639648438,NA,5.8555555,-0.45159131,14.8909997940063,2.1010000705719,10.9239997863769,NA,4.09970998764038,1.90600001811981,7837.38671875,60.6199989318848
"107","Mali",20.4489784240723,5,4.151515,-0.93672204,42.0779991149902,63.4550018310547,64.3860015869141,NA,3.78730988502502,5.96799993515015,766.142333984375,58.4280014038086
"108","Malta",-2.97875213623047,NA,8.0499992,1.0043719,9.19999980926514,0.34400001168251,1.43299996852875,NA,4.82437992095947,1.25999999046326,28201.5234375,5.4539999961853
"109","Mauritania",20.3941612243652,-2,3.9444444,-0.72822696,34.1319999694824,52.0620002746582,52.9790000915527,NA,1.94405996799469,4.61899995803833,1715.61071777344,47.1759986877441
"110","Mauritius",3.99097442626953,10,8.5,0.89944553,10.6999998092651,5.34800004959106,7.16599988937378,NA,5.02312994003296,1.44000005722046,10199.4794921875,59.1590003967285
"111","Mexico",1.70661163330078,8,7.3199301,-0.029903697,17.9179992675781,3.81399989128113,18.6620006561279,NA,4.52281999588013,2.15700006484985,10277.8837890625,20.132999420166
"112","Monaco",NA,NA,NA,NA,5.90000009536743,NA,NA,NA,1.45792996883392,NA,186185.109375,0
"113","Mongolia",-0.462875366210938,10,7.185185,-0.26470196,24.8330001831055,26.1009998321533,31.0590000152588,NA,4.08859014511108,2.91400003433227,3997.48583984375,31.636999130249
"114","Moldova",0.461593627929688,9,6.4722223,-0.5276804,10.2740001678467,27.9489994049072,36.5989990234375,NA,5.6184401512146,1.25899994373322,3321.6220703125,57.443000793457
"115","Montenegro",1.17912292480469,9,5.1904764,0.17505457,11.7749996185303,6.93400001525879,8.71199989318848,NA,NA,1.73800003528595,7852.4599609375,33.5229988098145
"116","Morocco",18.7099761962891,-4,6,-0.1935492,19.3990001678467,55.7319984436035,29.7310009002686,NA,NA,2.45099997520447,3305.41918945312,38.0919990539551
"117","Mozambique",22.3043098449707,5,3.875,-0.89174491,37.8759994506836,80.9919967651367,60.2360000610352,NA,5.50555992126465,4.92199993133545,589.719055175781,64.5449981689453
"118","Oman",4.79827117919922,-8,7,0.19291514,19.7859992980957,0.381999999284744,5.34100008010864,NA,NA,2.92000007629394,16067.072265625,16.4400005340576
"119","Namibia",0.190986633300781,6,6.7142859,0.20023991,29.1049995422363,19.4570007324219,23.1410007476807,NA,NA,3.44700002670288,6013.29345703125,50.9949989318848
"120","Nauru",NA,NA,NA,-0.43434697,NA,NA,NA,NA,NA,NA,7572.7919921875,0
"121","Nepal",18.8669090270996,6,7.3000002,-0.88687617,20.1959991455078,75.8489990234375,53.8779983520508,42.8274917602539,5.51837015151978,1.96700000762939,779.203979492188,80.6640014648438
"122","Netherlands",NA,10,9.1176472,1.8517932,9.89999961853027,1.46200001239777,2.95499992370606,NA,5.17509984970093,1.62000000476837,53942.0859375,8.92300033569336
"123","Vanuatu",1.60025787353516,NA,7.125,-0.90109712,30.0149993896484,56.6559982299805,57.5279998779297,NA,4.53353023529053,3.8199999332428,2854.00024414062,74.8369979858398
"124","New Zealand",NA,10,9.2587414,1.7661529,12.4300003051758,4.26000022888184,7.96999979019165,NA,6.28366994857788,1.80999994277954,37725.12109375,13.5340003967285
"125","Nicaragua",-0.340797424316406,6,2,-0.62978745,21.0599994659424,8.53699970245361,43.6360015869141,NA,4.35767984390259,2.4300000667572,1957.84399414062,41.701000213623
"126","Niger",16.9440593719483,5,6,-0.7042371,46.5400009155273,70.5810012817383,79.1949996948242,NA,2.58165001869202,7.00099992752075,535.174865722656,83.6500015258789
"127","Nigeria",18.5992279052734,7,6.3333335,-1.0123316,38.3839988708496,25.1030006408691,44.9290008544922,NA,NA,5.45699977874756,2399.73120117188,50.4809989929199
"128","Norway",NA,10,9.6514425,1.9832231,10.6999998092651,0.943000018596649,3.07100009918213,NA,7.91198015213013,1.62000000476837,91549.0390625,18.128999710083
"129","Micronesia",NA,NA,7.4166665,0.089744702,22.9370002746582,NA,NA,NA,12.407919883728,3.09800004959106,2751.71240234375,77.3919982910156
"130","Marshall Islands",NA,NA,NA,-1.5533407,NA,NA,NA,NA,NA,NA,2977.79663085938,23.3659992218018
"131","Palau",0.472602844238281,NA,NA,-0.22938624,12.3999996185303,NA,NA,NA,NA,2.21000003814697,12257.7158203125,20.6350002288818
"132","Pakistan (1971-)",24.6483268737793,7,5.677083,-0.59763825,28.5990009307861,69.9879989624023,32.0989990234375,NA,2.89951992034912,3.56200003623962,1155.36340332031,63.5579986572266
"133","Panama",1.08721160888672,9,6.875,0.021819184,19.2630004882812,8.65299987792969,18.2220001220703,5.62041711807251,NA,2.48699998855591,11530.0712890625,32.6349983215332
"134","Papua New Guinea",NA,5,3,-0.66549063,27.3640003204346,62.5289993286133,57.3460006713867,NA,1.96493005752563,3.60999989509583,2452.32666015625,86.8980026245117
"135","Paraguay",0.979774475097656,9,5.6964283,-0.82379007,20.7870006561279,14.9519996643066,23.5370006561279,10.4210500717163,3.43833994865417,2.45300006866455,5272.36083984375,38.7000007629395
"136","Peru",5.76961517333984,9,6.9475527,-0.12953262,18.1340007781982,26.068000793457,29.0629997253418,22.5665721893311,3.93130993843079,2.27500009536743,6314.29150390625,22.2800006866455
"137","Philippines",-0.118499755859375,8,6.7414532,-0.049425475,21.0359992980957,15.3280000686646,31.6800003051758,NA,NA,2.64000010490417,3042.68676757812,53.318000793457
"138","Poland",NA,10,8.666666,0.6430409,10.6000003814697,8.86200046539307,11.3129997253418,NA,4.55956983566284,1.48000001907349,15802.705078125,39.8950004577637
"139","Portugal",2.28110504150391,10,8.9486847,1.3320278,8.39999961853027,4.18300008773804,8.49899959564209,NA,5.0156102180481,1.37999999523163,23380.693359375,35.3479995727539
"140","Guinea-Bissau",31.3894596099853,6,6.875,-1.76677,35.6969985961914,71.6360015869141,66.2929992675781,63.9161796569824,NA,4.55299997329712,615.038879394531,57.0550003051758
"141","Timor-Leste",7.65778350830078,8,8.1509256,-0.99721628,29.4529991149902,43.6110000610352,48.7719993591309,NA,7.06049013137817,4.09299993515015,865.703369140625,69.7880020141602
"142","Qatar",-1.56704711914062,-10,NA,0.7404983,9.69799995422363,0.0099999997764826,1.442999958992,NA,2.86383008956909,1.8860000371933,64472.84765625,0.921999990940094
