"","votereg","age","female","nohighschool","collegeorhigher","nonwhite","married","employed","republican","democrat","independent","partisanship","impeach"
"16480",1,58,0,0,1,1,0,1,0,0,1,"Independent",1
"16481",1,24,0,0,1,0,0,1,0,1,0,"Democrat",1
"16482",1,68,1,0,1,1,0,0,0,1,0,"Democrat",1
"16484",1,78,1,0,0,0,1,0,0,0,1,"Independent",1
"16486",1,78,0,0,0,0,0,0,0,0,1,"Independent",0
"16487",1,83,0,0,0,0,1,0,0,0,1,"Independent",0
"16488",1,61,1,0,1,1,1,1,0,1,0,"Democrat",1
"16491",1,66,0,0,0,0,1,1,1,0,0,"Republican",0
"16492",1,68,1,0,1,1,0,0,0,0,1,"Independent",0
"16493",1,28,1,0,1,0,0,0,0,1,0,"Democrat",0
"16494",1,61,0,1,0,0,0,1,0,0,1,"Independent",1
"16496",1,77,1,1,0,0,0,0,1,0,0,"Republican",0
"16497",1,49,0,0,1,1,0,1,1,0,0,"Republican",0
"16498",1,53,1,0,0,0,1,1,0,1,0,"Democrat",1
"16499",1,78,0,1,0,0,1,0,1,0,0,"Republican",0
"16500",1,63,1,0,1,1,0,0,0,1,0,"Democrat",1
"16501",1,56,1,0,0,0,1,1,0,1,0,"Democrat",0
"16502",1,61,1,0,0,1,1,0,1,0,0,"Republican",0
"16504",1,43,0,0,1,0,1,1,1,0,0,"Republican",0
"16505",0,50,0,0,0,0,0,0,0,1,0,"Democrat",0
"16506",1,63,1,0,0,0,1,1,1,0,0,"Republican",0
"16507",1,54,1,1,0,0,1,0,1,0,0,"Republican",0
"16508",1,28,0,0,1,0,0,1,0,0,1,"Independent",1
"16509",1,84,1,0,0,0,0,0,1,0,0,"Republican",0
"16510",1,59,0,0,0,0,1,1,0,0,1,"Independent",0
"16512",1,47,0,0,0,0,1,1,1,0,0,"Republican",0
"16514",1,66,0,0,0,0,1,1,1,0,0,"Republican",0
"16515",1,65,1,0,1,1,1,1,0,1,0,"Democrat",0
"16517",1,71,0,0,0,0,0,1,1,0,0,"Republican",0
"16518",0,46,1,0,0,0,0,0,0,0,1,"Independent",1
"16519",1,50,0,0,1,1,0,1,0,1,0,"Democrat",1
"16520",1,74,0,0,0,0,1,0,0,0,1,"Independent",0
"16521",1,58,0,0,1,1,1,1,1,0,0,"Republican",0
"16522",1,75,0,0,1,1,0,0,1,0,0,"Republican",0
"16524",1,68,0,0,0,0,1,1,1,0,0,"Republican",0
"16525",1,57,0,0,1,1,1,1,0,0,1,"Independent",0
"16526",1,57,1,0,0,0,1,0,0,0,1,"Independent",0
"16527",1,63,1,0,1,1,1,1,1,0,0,"Republican",0
"16528",1,23,1,0,1,0,0,1,1,0,0,"Republican",0
"16529",1,24,1,0,1,0,0,1,0,1,0,"Democrat",1
"16530",1,37,1,0,1,1,1,1,1,0,0,"Republican",1
"16531",1,79,1,0,1,1,0,0,1,0,0,"Republican",0
"16532",1,28,1,0,1,1,0,1,0,1,0,"Democrat",1
"16533",1,88,1,0,0,0,0,0,1,0,0,"Republican",0
"16534",1,55,1,0,0,0,1,0,0,0,1,"Independent",0
"16535",1,52,0,0,1,1,1,0,0,1,0,"Democrat",1
"16536",1,90,1,1,0,0,0,0,0,1,0,"Democrat",1
"16537",1,65,0,0,1,1,0,1,0,1,0,"Democrat",1
"16538",1,53,0,0,0,0,0,0,1,0,0,"Republican",0
